document_name,link_to_source,document_type,judge_author,court_type,country,state,court,date_yyyy_mm,order_type,case_types,ai_type,ai_use_case_for_filings,prohibited,disclose_ai_use_w_each_filing,disclose_ai_tool_used,disclose_how_ai_tool_used,identify_sections_drafted_with_ai,disclose_process_used_to_check_accuracy,certify_accuracy_non_use_on_notice,certify_accuracy_non_use_w_each_filing,certify_accuracy_if_planning_to_use_ai,certify_no_unauthorized_disclosure,certify_accuracy_w_each_filing_if_ai_used,just_a_warning,references_other_procedural_rules,maintain_ai_prompt_records,proprietary_info_nondisclosure_req,disclose_ai_generated_evidence,notice_to_opposing_parties_ai_evidence,ai_to_record_in_courtroom,applies_to,other_reqs_notes,court_original,court_abbreviation,judge_title,judge_name_clean,judge_last_name,rg_id,rg_tags,rg_summary,rg_consequences_attorneys,rg_consequences_parties
"Fla. Dist. Ct. App. – Judge Melanie G. May, Judge Johnathan D. Lott (concurring separately with opinion)",https://advance.lexis.com/api/permalink/78e291ce-a249-4c7e-a851-19c30c30dd55/?context=1000516,,Judge Melanie G. May | Judge Johnathan D. Lott,State,US,Florida,"Florida - State Intermediate Appeals Court | Florida - Court of Appeal, Fourth District",2026-04,,,Gen AI,Draft,,,,,,,,,,,,checked,,,,,,,Pro Se Litigants,,"Florida - State Intermediate Appeals Court | Florida - Court of Appeal, Fourth District",,Judge,Melanie G. May,May,21793a8b-37d8-4676-896a-ac6d5e158625,"Generative AI Usage, Suggests Cautious Use of AI, Applies to AI Used for Filings/Drafting","In Gouveia v. Meridian Fin. Invs., LLC, No. 4D2025-0843, 2026 Fla. App. LEXIS 2306 (Fla. Dist. Ct. App. Mar. 25, 2026), the court suspected that the pro se defendant used GenAI to write his brief because it contained “case citations that either do not exist or fail to support the defendant's arguments.” The court warned that future GenAI misuse in court filings could result in sanctions. In a concurring opinion, Judge Lott addressed the need for creative solutions to help pro se litigants understand that they cannot rely on GenAI for drafting.",,
"Florida - State Intermediate Appeals Court - Judge Melanie G. May, Judge Johnathan D. Lott",https://advance.lexis.com/api/permalink/78e291ce-a249-4c7e-a851-19c30c30dd55/?context=1000516,,Judge Melanie G. May | Judge Johnathan D. Lott,State,US,Florida,"Florida - State Intermediate Appeals Court | Florida - Court of Appeal, Fourth District",2026-04,,,Gen AI,Draft,,,,,,,,,,,,checked,,,,,,,Pro Se Litigants,,"Florida - State Intermediate Appeals Court | Florida - Court of Appeal, Fourth District",,Judge,Melanie G. May,May,1aea00f6-9b9a-410a-aeaf-cb2cf51ad827,"Generative AI Usage, Suggests Cautious Use of AI, Applies to AI Used for Filings/Drafting","In Gouveia v. Meridian Fin. Invs., LLC, No. 4D2025-0843, 2026 Fla. App. LEXIS 2306 (Fla. Dist. Ct. App. Mar. 25, 2026), the court suspected that the pro se defendant used GenAI to write his brief because it contained “case citations that either do not exist or fail to support the defendant's arguments.” The court warned that future GenAI misuse in court filings could result in sanctions. In a concurring opinion, Judge Lott addressed the need for creative solutions to help pro se litigants understand that they cannot rely on GenAI for drafting.",,
New York - Federal District Court (Northern District)|New York - N.D.N.Y. – (Judge) Glenn (T.) Suddaby,https://advance.lexis.com/api/permalink/d7f0683c-ff52-445a-b2d4-fa421da5f5c8/?context=1000516,,,Federal,US,New York,New York - Federal District Court (Northern District) | New York - N.D.N.Y.,2026-04,,,Gen AI,,,,,,,,,,,,,,,,,,,,Pro Se Litigants,,New York - Federal District Court (Northern District) | New York - N.D.N.Y.,N.D.N.Y.,,,,f6933c3c-6244-46c1-b71d-85d1211537f3,"Generative AI Usage, Applies to AI Used for Filings/Drafting","In United States v. Cline, 2026 U.S. Dist. LEXIS 84665 (N.D.N.Y. Apr. 17, 2026), the pro se defendants filed objections to a magistrate judge’s report and recommendation in a civil forfeiture proceeding.  The court observed that the defendants’ arguments were “asserted with the misplaced confidence that has become a hallmark of an output of a [GenAI] tool,” and referred to “the [GenAI] tools that they used” in describing the defendants’ selective reading of the magistrate judge’s analysis. While the court did not impose sanctions or formally address the GenAI issue beyond these observations, it rejected all of the defendants’ arguments and adopted the magistrate judge’s report and recommendation in its entirety.",,
Colorado - Federal District Court|Colorado - D. Colo. – (Magistrate Judge) Susan () Prose,https://advance.lexis.com/api/permalink/2b923156-b064-418b-9684-b0109df7c9fb/?context=1000516,,Magistrate Judge Susan Prose,Federal,US,Colorado,Colorado - Federal District Court | Colorado - D. Colo.,2026-04,,,Gen AI,,,,,,,,,,,,,checked,,,,,,,"Attorneys,Pro Se Litigants",,Colorado - Federal District Court | Colorado - D. Colo.,D. Colo.,Magistrate Judge,Susan Prose,Prose,cd7fd149-efeb-4800-b33d-5ce8afdba848,"Generative AI Usage, Suggests Cautious Use of AI, Applies to AI Used for Filings/Drafting","In Saunders v. Albertsons/Safeway, LLC, 2026 U.S. Dist. LEXIS 84039 (D. Colo. Apr. 16, 2026), the defendant moved to strike the pro se plaintiff’s motion for costs on the grounds that she “relied on a fictional, [GenAI]-generated case.” The plaintiff acknowledged the error and apologized to the court and opposing counsel. The court declined to strike the motion, but warned the plaintiff that “citing to hallucinated cases may result in her filings being stricken without further analysis.”",,
"Illinois - State Intermediate Appeals Court|Illinois - Appellate Court of Illinois, First District – (Presiding Justice) LeRoy (K.) Martin Jr.|(Justice) Bertina (E.) Lampkin|(Justice) Mary (K.) Rochford",https://advance.lexis.com/api/permalink/efd5bc50-ffaf-4764-b0f6-0298dd3e03f6/?context=1000516,,,,US,Illinois,,2026-04,,,Gen AI,,,,,,,,,,,,,,,,,,,,Pro Se Litigants,,,,,,,78070abc-7f74-4101-a829-9b70f8e890d9,"Generative AI Usage, Applies to AI Used for Filings/Drafting, Court-Imposed Consequences - Parties","In Strong v. Zubha POP Foods LLC, 2026 IL App (1st) 242451-U, 2026 Ill. App. Unpub. LEXIS 900 (Apr. 15, 2026), the pro se plaintiffs filed appellate briefs containing “copious citations to hallucinated authority” and references to “Centient AI,” some of which plaintiff “tried to obscure.” The defendant filed a motion for sanctions, to which the plaintiffs chose not to respond. The court initially struck the plaintiffs’ opening and reply briefs and gave the plaintiffs an opportunity to refile. Despite this second chance, the plaintiffs’ refiled briefs continued to rely on “unsupported arguments and illegitimate citations,” including “abundant citations to both hallucinated cases and fictitious holdings and quotations from existent cases.” The defendant filed a second motion for sanctions, which the plaintiffs again declined to address. Citing recent Illinois appellate authority holding that the “[f]lagrant and unprincipled use of [GenAI] without ensuring the accuracy of the generated response ‘is an abuse of the adversary system,’” the court found that the plaintiffs’ “persistent dependence on incoherent arguments, hallucinated authority, and fictitious case holdings has rendered review impossible.”  The court again struck the plaintiffs’ briefs, and then dismissed the appeal for failure to comply with Illinois Supreme Court Rule 341, which regulates both brief formatting and reliance on authorities.",,checked
Kansas - Federal District Court|Kansas - D. Kan. – (Chief Judge) John (W.) Broomes,https://advance.lexis.com/api/permalink/8f784780-aade-449e-afb2-f9bbb5b4b51d/?context=1000516,,Chief Judge John W. Broomes,Federal,US,Kansas,Kansas - Federal District Court | Kansas - D. Kan.,2026-04,,,Gen AI,,,,,,,,,,,,,checked,FRCP 11,,,,,,Attorneys,,Kansas - Federal District Court | Kansas - D. Kan.,D. Kan.,Chief Judge,John W. Broomes,Broomes,69eac4a5-3b0e-4064-aea4-4f8f77db42a2,"Generative AI Usage, Suggests Cautious Use of AI, Applies to AI Used for Filings/Drafting","In Redmond v. Dairy Farmers of Am., 2026 U.S. Dist. LEXIS 82609 (D. Kan. Apr. 14, 2026), the attorney for the plaintiff cited a case that neither the defendant nor the court could locate, among other instances of quoting or citing cases that “do not contain such quotes or propositions.” The court “strongly suspect[ed] that these errors are attributable to the careless use of [GenAI]” and warned counsel that “further errors like these will lead to sanctions” under Fed. R. Civ. P. 11 and the court’s recent standing order on the use of GenAI. The court granted the defendant’s motion on other grounds.",,
Mississippi - Federal District Court (Northern District)|Mississippi - N.D. Miss. – (Judge) James (Donald) Maxwell II,https://advance.lexis.com/api/permalink/892439b4-4a0b-49ed-9b21-36d70aeecd8a/?context=1000516,,,Federal,US,Mississippi,Mississippi - Federal District Court (Northern District) | Mississippi - N.D. Miss.,2026-04,,,Gen AI,,,,,,,,,,,,,checked,,,,,,,"Attorneys,Pro Se Litigants",,Mississippi - Federal District Court (Northern District) | Mississippi - N.D. Miss.,N.D. Miss.,,,,6ddef3b7-2fb8-4994-ab85-fbca78d17cb1,"Generative AI Usage, Suggests Cautious Use of AI, Applies to AI Used for Filings/Drafting","In Smith v. TD Auto Fin. LLC, 2026 U.S. Dist. LEXIS 81331 (N.D. Miss. Apr. 14, 2026), the pro se plaintiff’s motion contained GenAI-hallucinated cases, which the non-signatory defendants brought to the court’s attention. The court noted that this was “not the first time” the plaintiff’s filings cited “fictitious legal authorities” and that the court had previously admonished the plaintiff against further fictitious citations. While acknowledging that the plaintiff had filed the motion before the court’s prior admonishment, Judge Maxwell reiterated his warning that further citations to “false legal authorities” would result in sanctions, “up to and including monetary penalties, defendants’ attorney fees, and dismissal of this action.” The court denied the motion for reconsideration on other grounds.",,
Colorado - Federal District Court|Colorado - D. Colo. – (Judge) Nina (Y.) Wang,https://advance.lexis.com/api/permalink/69a0ee48-c029-420a-8de9-ac1e895270f4/?context=1000516,,Judge Nina Y. Wang,Federal,US,Colorado,Colorado - Federal District Court | Colorado - D. Colo.,2026-04,,,Any AI,Draft,,,,,,,,Yes,,,,,,,,,,,Pro Se Litigants,,Colorado - Federal District Court | Colorado - D. Colo.,D. Colo.,Judge,Nina Y. Wang,Wang,9a0cf669-b01e-4542-adea-fe750de70a71,"Any AI Usage, Generative AI Usage, Requires Disclosure and/or Verification, Suggests Cautious Use of AI, Applies to AI Used for Filings/Drafting","In Hessert v. St. Dog Coal., 2026 U.S. Dist. LEXIS 80561 (D. Colo. Apr. 13, 2026), the court cautioned the pro se plaintiff to review the court’s “Standing Order Regarding the Use of Generative Artificial Intelligence (‘AI’) in Court Filings,” which requires all litigants to include an “AI Certification” with “‘every filing’ indicating whether [GenAI] was used in drafting the filing.” Judge Wang advised the plaintiff that his pro se status “does not exempt him from complying with the Standing Order” and warned that future non-compliant filings “may be stricken.”",,
llinois - Federal District Court (Northern District)|Illinois - N.D. Ill. – (Judge) Andrea (R.) Wood,https://advance.lexis.com/api/permalink/4ff89aa4-badf-425c-8ded-c47e80ee1454/?context=1000516,,Judge Andrea R. Wood,,US,Illinois,Illinois - N.D. Ill.,2026-04,,,Gen AI,,,,,,,,,,,,,checked,FRCP 11,,,,,,Pro Se Litigants,,Illinois - N.D. Ill.,N.D. Ill.,Judge,Andrea R. Wood,Wood,fb8e2239-c55e-441c-b227-9d7c8afbc411,"Generative AI Usage, Suggests Cautious Use of AI, Applies to AI Used for Filings/Drafting","In Diallo v. 50 E. Chestnut Condo. Ass’n, No. 23-cv-13985, 2026 U.S. Dist. LEXIS 77536 (N.D. Ill. Apr. 9, 2026), the pro se plaintiff cited a case in his response brief with an incorrect reporter citation that, upon investigation, did not support his asserted proposition. The court found that the citation “may have been fabricated, perhaps with the use of [GenAI] applications.” The court reminded all parties that Fed. R. Civ. P. 11 requires a reasonable inquiry into the accuracy of filings and that failure to review filings for accuracy may result in sanctions. The court granted in part and denied in part the defendants’ motions to dismiss on other grounds.",,
New York - State Trial Court|New York - N.Y. Sup. Ct. Dutchess Cnty. – (Justice) Christi (J.) Acker,https://advance.lexis.com/api/permalink/13b96af5-a03f-450f-b339-372197639e3a/?context=1000516,,,State,US,New York,New York - State Trial Court,2026-04,,,Gen AI,Draft,,,,,,,,,,,,checked,,,,,,,Pro Se Litigants,,New York - State Trial Court,,,,,d5118aac-e036-4d07-9303-47707b3593a4,"Generative AI Usage, Suggests Cautious Use of AI, Applies to AI Used for Filings/Drafting","In Michaelis v. Wilmington Sav. Fund Soc'y, 2026 N.Y. Misc. LEXIS 2581 (N.Y. Sup. Ct. Apr. 3, 2026), the pro se plaintiff filed several repetitive motions in which “virtually every legal citation” was “‘hallucinated’ through the use of [GenAI].” The court opined that its rules require all litigants, including self-represented parties, to submit a certification confirming either that no GenAI was used in drafting, or that all GenAI-generated text, including citations, quotations, and legal analysis, was reviewed for accuracy. The court noted that, “[i]n the normal course,” the motion would have been denied without prejudice for lack of this certification and for clear evidence of unreviewed GenAI use but proceeded to address the merits due to “newly discovered” evidence. In doing so, the court denied the motions on other grounds.",,
