Document Name,Link to Source,Document Type,Judge/Author,Court Type,Country,State,Court,Date (MM/YYYY),Order Type,Case Types,AI Type?,AI Use Case for Filings?,Prohibited?,Disclose AI Use w/ Each Filing?,Disclose AI Tool Used?,Disclose How AI Tool Used?,Identify Sections Drafted with AI?,Disclose Process Used to Check Accuracy,All Parties Certify Accuracy or Non-Use on Notice of Appearance?,All Parties Certify Accuracy or Non-Use w/ each Filing?,"Certify Accuracy, if Planning to Use AI during Case?",Certify No Unauthorized Disclosure,"Certify Accuracy w/ Each Filing, only if AI Used?",Just a Warning to Follow Existing Court and Ethics Rules when using AI?,References Other Procedural Rules?,Maintain AI Prompt Records?,Proprietary / Confidential Info NonDisclosure Req?,Disclose Use of AI-Generated Evidence?,Provide Notice to Opposing Parties of AI-Generated Evidence?,Use of AI to Record in Courtroom?,Applies To,"Other Reqs, Notes"
"Judge's Procedures: 28. Generative Artificial Intelligence (""AI"")",https://www.cacd.uscourts.gov/honorable-karen-e-scott,Standing Order,Judge Karen E. Scott,Federal,US,California,US DC Central District of California,,Judge Level,"Criminal,Civil",Any AI,Create,,No,,,,,,No,,,,checked,FRCP 11,,,,,,Attorneys,
Part 2 Rules Section 15,https://ww2.nycourts.gov/courts/2jd/kings/civil/MaslowRules.shtml,Local Rules,Judge Aaron D. Maslow,State,US,New York,"Supreme Court, Kings County",,Judge Level,Civil,Gen AI,Draft,,Yes,checked,,checked,,,Yes,,,,,No,,,,,,"Attorneys,Pro Se Litigants",
Mandatory Certification Regarding Generative Artificial Intelligence,https://www.txnd.uscourts.gov/judge/judge-brantley-starr,Standing Order,Judge Brantley Starr,Federal,US,Texas,US DC Northern District of Texas,05/2023,Judge Level,Civil,Gen AI,Draft,,No,,,,,checked,No,,,,,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",Can move for leave if party believes a platform has requisite accuracy and reliability for legal briefing
Standing Order for Civil Cases Before Magistrate Judge Fuentes,https://www.ilnd.uscourts.gov/_assets/_documents/_forms/_judges/Fuentes/Standing%20Order%20For%20Civil%20Cases%20Before%20Judge%20Fuentes%20revision%201-9-24.pdf,Standing Order,Magistrate Judge Gabriel A. Fuentes,Federal,US,Illinois,US DC Northern District of Illinois,05/2023,Judge Level,Civil,"Gen AI, excluding standard research tools","Prepare,Draft,Research",,Yes,,,,,,No,,,,,FRCP 11,,,,,,Any Parties,Must disclose only that AI was used. Notes that it is not intended to reveal attorney work product
Pleadings Using Generative Artificial Intelligence,https://www.txnb.uscourts.gov/sites/txnb/files/news/General%20Order%202023-03%20Pleadings%20Using%20Generative%20Artificial%20Intelligence-signed.pdf,General Order,Judge Stacey G.C. Jernigan,Federal,US,Texas,US Bankruptcy Court Northern District of Texas,06/2023,Court Level,Bankruptcy,Gen AI,Draft,,No,,,,,,No,,,,checked,FRBP 9011,,,,,,"Pro Se Litigants,Attorneys",
"Standing Order Re: Artificial Intelligence (""AI"") in Cases Assigned to Judge Baylson",https://www.paed.uscourts.gov/sites/paed/files/documents/locrules/standord/Standing%20Order%20Re%20Artificial%20Intelligence%206.6.pdf,Standing Order,Judge Michael M. Baylson,Federal,US,Pennsylvania,US DC Eastern District of Pennsylvania,06/2023,Judge Level,"Criminal,Civil",Any AI,Prepare,,Yes,,,,,,No,,,checked,,No,,,,,,"Pro Se Litigants,Attorneys",
Order on Artificial Intelligence,https://www.cit.uscourts.gov/sites/cit/files/Order%20on%20Artificial%20Intelligence.pdf,Standing Order,Judge Stephen Alexander Vaden,Federal,US,,US Court of International Trade,06/2023,Judge Level,Civil,Gen AI,Draft,,Yes,checked,,checked,,,No,,,,,"USCIT 7(b),USCIT 5(g)",,checked,,,,Any Parties,Must disclose AI tool used
Standing Order Regarding the Use of Artificial Intelligence,https://img1.wsimg.com/blobby/go/2f8cb9d7-adb6-4232-a36b-27b72fdfcd38/downloads/Standing%20order%20Regarding%20Use%20of%20Artificial%20Int.pdf?ver=1697636353579,Standing Order,Judge Roy B. Ferguson,State,US,Texas,394th District Court of Texas,06/2023,Judge Level,Civil,Gen AI,"Draft,Research",,No,,,,,,No,checked,,,,No,,,,,,"Pro Se Litigants,Attorneys",Need to file certification before using Gen AI in any filings. Concern because order might mean that any one who uses any form of AI must file a certification regarding use of Gen AI in filings
"Belenzon v Paws Up Ranch, LLC Order",https://storage.courtlistener.com/recap/gov.uscourts.mtd.73612/gov.uscourts.mtd.73612.8.0.pdf,Court Order,Judge David W. Molloy,Federal,US,Montana,US DC District of Montana,06/2023,Case Level,Civil,Any AI,Draft,checked,No,,,,,,No,,,,,No,,,,,,Pro Hac Vice Counsel,Order for pro hac vice counsel
Re: Use of Artificial Intelligence in Court Submissions,https://www.manitobacourts.mb.ca/site/assets/files/2045/practice_direction_-_use_of_artificial_intelligence_in_court_submissions.pdf,Standing Order,Chief Justice Glenn D. Joyal,State,Canada,Manitoba,Court of King's Bench (Manitoba),06/2023,Court Level,N/A,Any AI,Prepare,,Yes,,checked,,,,No,,,,checked,No,,,,,,Any Parties,Must disclose how AI was used
Practice Direction General-29: Use of Artificial Intelligence Tools,https://www.yukoncourts.ca/sites/default/files/2023-06/GENERAL-29%20Use%20of%20AI.pdf,Practice Direction,Chief Justice Suzanne M. Duncan,State,Canada,Yukon,Supreme Court of Yukon,06/2023,Court Level,"Civil,Criminal",Any AI,Rely On,,Yes,checked,checked,,,,No,,,,,No,,,,,,Any Parties,
The Use of Artificial Intelligence in the Preparation of Documents Filed Before the Court,https://www.ilnd.uscourts.gov/_assets/_documents/_forms/_judges/Cole/Artificial%20Intelligence%20standing%20order.pdf,Standing Order,Magistrate Judge Jeffrey Cole,Federal,US,Illinois,US DC Northern District of Illinois,07/2023,Judge Level,Civil,Any AI,"Draft,Research",,Yes,,,,,,No,,,,,FRCP 11,,,,,,Any Parties,Must disclose whether AI used in research or drafting
Pleadings Using Generative Artificial Intelligence,https://www.okwb.uscourts.gov/sites/okwb/files/GenOrder23-01.pdf,General Order,Chief Judge Sarah A. Hall; Judge Janice D. Loyd,Federal,US,Oklahoma,US Bankruptcy Court Western District of Oklahoma,07/2023,Court Level,Bankruptcy,Gen AI,Draft,,Yes,checked,,checked,,,No,,,checked,,FRBP 9011,,checked,,,,Any Parties,Must disclose AI tool used
Individual Practices in Civil Cases,https://www.nysd.uscourts.gov/sites/default/files/practice_documents/AS%20Subramanian%20Civil%20Individual%20Practices.pdf,Standing Order,Judge Arun Subramanian,Federal,US,New York,US DC Southern District Of New York,07/2023,Judge Level,Civil,Gen AI,Research,,No,,,,,,No,,,,checked,No,,,,,,Attorneys,"Uses term ""ChatGPT and Other Tools"", not AI or Gen AI"
OAH Policy 23-12,https://oah.idaho.gov/wp-content/uploads/2024/03/Policies-Manual-12.31.23.pdf,Policy/Guidelines,Chief Administrative Hearing Officer Bryan Nickels,State,US,Idaho,Office of Administrative Hearings,07/2023,State Level,Administrative,Gen AI,Draft,,Yes,,,,,,Court may require at discretion,,,,,No,,,,,,Hearing Officers,OAH Policy enabling hearing officers to request AI Use disclosure statements from parties
Standing Order for Civil Cases Before Magistrate Judge Peter H. Kang,https://www.cand.uscourts.gov/wp-content/uploads/judges/kang-phk/Civil-Standing-Order-PHK-001.pdf,Standing Order,Magistrate Judge Peter H. Kang,Federal,US,California,US DC Northern District of California,07/2023,Judge Level,Civil,"Any AI, excluding standard research tools","Draft,Create",,Yes,,,checked,,,No,,,,,FRCP 11,checked,checked,,checked,,"Pro Se Litigants,Attorneys",References ABA Resolution 604
Standing Order For All Cases Filed Before the Administrative Law Section,https://hrc.illinois.gov/content/dam/soi/en/web/hrc/documents/standing-order-for-all-cases-filed-before-the-als.pdf,Standing Order,Chief Judge Brian Weinthal,State,US,Illinois,"Human Rights Commission, Administrative Law Section",08/2023,Court Level,Administrative,Gen AI,Draft,,No,,,,,,No,,,,checked,No,,,,,,"Pro Se Litigants,Attorneys",
"Cowan v Board of Immigration Appeals, et al. AI Order",https://dockets.justia.com/docket/arizona/azdce/4:2023cv00327/1341070,Court Order,Judge James A. Soto,Federal,US,Arizona,US DC District of Arizona,09/2023,Case Level,Civil,Gen AI,Prepare,,Yes,checked,,checked,,,No,,,checked,,No,,,,,,"Pro Se Litigants,Attorneys",
Disclosure and Certification Requirements for Generative Artificial Intelligence,https://www.oked.uscourts.gov/sites/oked/files/AI%20Guidelines%20JAR%209.27.23.pdf,Standing Order,Magistrate Judge Jason A. Robertson,Federal,US,Oklahoma,US DC Eastern District of Oklahoma,09/2023,Judge Level,"Civil,Criminal",Gen AI,Prepare,,Yes,checked,,,,,No,,,checked,,FRCP 11,,,,,,"Pro Se Litigants,Attorneys",Must disclose AI tool used
